dt,db,model
11.731787116475207,6.521739130434796,Y
11.791944161698414,6.9565217391304515,Y
11.882201541369783,7.391304347826093,Y
11.932281518103824,8.26086956521739,Y
11.941900538025301,12.391304347826093,Y
11.951606805293006,15.652173913043484,Y
11.950952450196306,22.17391304347828,Y
11.970255925548932,29.782608695652186,Y
11.978740729969463,45.21739130434784,Y
11.987356405409335,59.347826086956545,Y
12.00587465464592,74.78260869565219,Y
12.004413261596627,89.34782608695654,Y
12.033532063399738,99.13043478260872,Y
12.063719645194125,98.26086956521742,Y
12.06406863457903,94.7826086956522,Y
12.07471281081867,88.69565217391306,Y
12.09515050167224,85.00000000000003,Y
12.095564926566816,80.86956521739133,Y
12.116678784353642,70.43478260869567,Y
12.167892976588629,60.000000000000014,Y
12.219107168823614,49.565217391304365,Y
12.280071251999418,41.95652173913045,Y
12.320663079831322,37.39130434782611,Y
12.381256361785661,33.47826086956523,Y
12.481416315253744,35.21739130434784,Y
12.571455576559547,37.82608695652175,Y
12.701541369783335,41.30434782608698,Y
12.841726043332848,44.13043478260871,Y
12.992118656390868,45.21739130434784,Y
13.102617420386796,43.91304347826089,Y
13.253162716300713,43.47826086956523,Y
13.373585865929911,43.260869565217405,Y
13.554275119965101,42.39130434782609,Y
13.704951286898357,40.6521739130435,Y
13.805438417914788,39.13043478260872,Y
13.92597062672677,37.82608695652175,Y
14.036578449905482,35.43478260869567,Y
14.257510542387669,33.47826086956523,Y
14.388141631525375,31.521739130434796,Y
14.50858659299113,31.086956521739154,Y
14.588701468663661,32.608695652173935,Y
14.68894866947797,33.47826086956523,Y
14.728864330376616,35.652173913043484,Y
14.799294750618001,33.69565217391306,Y
14.869594299840047,33.04347826086958,Y
14.989952013959577,33.47826086956523,Y
15.070285007997672,32.82608695652175,Y
15.170793950850662,31.086956521739154,Y
15.261334884397266,28.69565217391306,Y
15.351810382434202,26.956521739130437,Y
15.482376036062236,25.652173913043484,Y
15.652966409771702,25.434782608695656,Y
15.773454994910571,24.56521739130436,Y
15.863690562745383,25.217391304347842,Y
15.903649847317144,26.956521739130437,Y
15.953555329358732,29.56521739130436,Y
16.033931947069945,28.478260869565233,Y
16.11426494110804,27.82608695652175,Y
16.174683728369928,25.652173913043484,Y
16.275061800203577,25.217391304347842,Y
16.39550676166933,24.782608695652186,Y
16.49584120982987,24.782608695652186,Y
16.616198923949398,25.217391304347842,Y
16.70654355096699,24.782608695652186,Y
16.796888177984584,24.34782608695653,Y
16.877221172022686,23.69565217391306,Y
11.554621848739496, 27.570314872937104,N
11.594957983193277, 31.47247139819781,N
11.766386554621848, 30.381937835375112,N
11.816806722689075, 21.70541662448109,N
12.381512605042015, 53.78139111066112,N
12.532773109243697, 63.3180925382201,N
12.724369747899159, 62.009962539232546,N
12.895798319327731, 55.497742229421874,N
13.107563025210084, 66.33346157740203,N
13.248739495798318, 61.12353953629644,N
13.450420168067225, 55.477695656575875,N
13.631932773109243, 42.67595423711653,N
13.803361344537814, 52.42879416826972,N
13.994957983193277, 57.62668826566771,N
14.166386554621848, 44.60844385947151,N
14.337815126050419, 45.469717525564434,N
14.539495798319328, 44.161223043434234,N
14.700840336134453, 48.27587324086261,N
14.882352941176471, 46.53437278525868,N
15.094117647058823, 49.345995747696676,N
15.255462184873949, 39.147392933076844,N
15.447058823529412, 39.357335223245926,N
15.628571428571428, 36.097762478485365,N
15.789915966386554, 48.0196415915764,N
15.95126050420168, 52.13429178900476,N
16.142857142857142, 43.452667814113596,N
16.354621848739495, 37.155857041611824,N
16.515966386554624, 41.05363976916067,N
16.69747899159664, 45.38442847018325,N
