dt,db,model
17.109084592047623,12.361750368032904,Y
17.17139050170674,13.489166759197246,Y
17.221231647605368,14.356542389151365,Y
17.250441460383183,16.17281606951614,Y
17.287862615379655,17.21211947547702,Y
17.35834404897076,17.21699076246388,Y
17.44953740682768,17.05050736603066,Y
17.532394058462607,16.451482339793767,Y
17.636025316365014,16.285858582240586,Y
17.677753620333323,18.880535268475978,Y
17.69872522717748,21.21459810091445,Y
17.70717834283115,22.770257927482305,Y
17.723959210135142,24.672065676410444,Y
17.72413830156848,26.399939825278405,Y
17.7491931930928,28.129533251906437,Y
17.798900020416422,27.701003270209583,Y
17.836070447406218,26.321282867755315,Y
17.869121771429185,25.200457041337895,Y
17.91458413178264,23.821309731470315,Y
17.960109174137763,23.04691837370652,Y
18.022182264933537,21.928098371342514,Y
18.084309083159315,21.3276406136389,Y
18.154683061890417,20.29578741130498,Y
18.245822692317333,19.610941770211372,Y
18.328661434808925,18.839129329087683,Y
18.40319928936519,17.980350087933907,Y
18.47775505306479,17.294358261666922,Y
18.556447828874553,16.522259274249883,Y
18.64347731090631,16.182701916636532,Y
18.672454304820782,15.752739203472949,Y
18.689091898978102,16.27224763330672,Y
18.73046202007973,15.411176021806185,Y
18.825756571760145,14.81301063444932,Y
18.90450307499991,14.559273891692676,Y
19.024664472199635,13.87643407465248,Y
19.11583992091322,13.537163263332474,Y
19.190440457471155,13.28313997428248,Y
19.273315018249416,12.85690236293238,Y
19.360353454852838,12.603738712762421,Y
17.72019867549669,43.00224808466433,N
17.9023178807947,32.27295968056097,N
18.084437086092716,28.23484774704584,N
18.241721854304636,32.8618036618621,N
18.436258278145694,24.276697019867548,N
18.62251655629139,17.064423451499806,N
18.788079470198674,21.862663939748085,N
18.97433774834437,20.05480213608622,N
19.1523178807947,24.252126347227634,N
19.334437086092716,30.164994805869366,N
