Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
5.000e+01|2.101e-08|4.417e-03|2.028e-08|1.020e-02|1.247e-03|1.586e-02|1.586e-02|
6.000e+01|1.459e-08|3.805e-03|1.684e-08|1.079e-02|1.354e-03|1.595e-02|1.595e-02|
8.000e+01|8.209e-09|3.001e-03|1.257e-08|1.169e-02|1.522e-03|1.622e-02|1.622e-02|
1.000e+02|5.253e-09|2.491e-03|1.002e-08|1.236e-02|1.647e-03|1.649e-02|1.649e-02|
1.500e+02|2.334e-09|1.774e-03|6.657e-09|1.346e-02|1.865e-03|1.710e-02|1.710e-02|
2.000e+02|1.313e-09|1.391e-03|4.984e-09|1.414e-02|2.008e-03|1.754e-02|1.754e-02|
3.000e+02|5.837e-10|9.858e-04|3.315e-09|1.497e-02|2.190e-03|1.814e-02|1.814e-02|
4.000e+02|3.283e-10|7.721e-04|2.485e-09|1.545e-02|2.303e-03|1.853e-02|1.853e-02|
5.000e+02|2.101e-10|6.392e-04|1.987e-09|1.577e-02|2.382e-03|1.879e-02|1.879e-02|
6.000e+02|1.459e-10|5.474e-04|1.655e-09|1.601e-02|2.440e-03|1.899e-02|1.899e-02|
8.000e+02|8.209e-11|4.274e-04|1.241e-09|1.632e-02|2.522e-03|1.927e-02|1.927e-02|
1.000e+03|5.253e-11|3.516e-04|9.921e-10|1.653e-02|2.576e-03|1.945e-02|1.945e-02|
1.500e+03|2.334e-11|2.456e-04|6.611e-10|1.683e-02|2.658e-03|1.973e-02|1.973e-02|
2.000e+03|1.313e-11|1.901e-04|4.958e-10|1.699e-02|2.705e-03|1.989e-02|1.989e-02|
3.000e+03|5.837e-12|1.321e-04|3.304e-10|1.717e-02|2.756e-03|2.006e-02|2.006e-02|
4.000e+03|3.283e-12|1.020e-04|2.478e-10|1.727e-02|2.787e-03|2.016e-02|2.016e-02|
5.000e+03|2.101e-12|8.342e-05|1.982e-10|1.733e-02|2.805e-03|2.022e-02|2.022e-02|
6.000e+03|1.459e-12|7.073e-05|1.652e-10|1.737e-02|2.818e-03|2.026e-02|2.026e-02|
8.000e+03|8.209e-13|5.448e-05|1.239e-10|1.743e-02|2.836e-03|2.032e-02|2.032e-02|
1.000e+04|5.253e-13|4.448e-05|9.910e-11|1.746e-02|2.847e-03|2.036e-02|2.036e-02|
1.500e+04|2.334e-13|3.075e-05|6.606e-11|1.751e-02|2.862e-03|2.041e-02|2.041e-02|
2.000e+04|1.313e-13|2.364e-05|4.955e-11|1.754e-02|2.870e-03|2.044e-02|2.044e-02|
3.000e+04|5.837e-14|1.630e-05|3.304e-11|1.757e-02|2.879e-03|2.046e-02|2.046e-02|
4.000e+04|3.283e-14|1.251e-05|2.478e-11|1.758e-02|2.884e-03|2.048e-02|2.048e-02|
5.000e+04|2.101e-14|1.019e-05|1.982e-11|1.759e-02|2.887e-03|2.049e-02|2.049e-02|
6.000e+04|1.459e-14|8.615e-06|1.652e-11|1.760e-02|2.890e-03|2.050e-02|2.050e-02|
8.000e+04|8.209e-15|6.607e-06|1.239e-11|1.761e-02|2.892e-03|2.050e-02|2.050e-02|
1.000e+05|5.253e-15|5.373e-06|9.910e-12|1.761e-02|2.893e-03|2.051e-02|2.051e-02|

