Photon|Coherent|Incoher|Photoel|Nuclear|electron|TotC|TotI|
3.000e+03|6.261e-12|1.322e-04|3.793e-10|1.786e-02|2.745e-03|2.074e-02|2.074e-02|
4.000e+03|3.522e-12|1.020e-04|2.845e-10|1.796e-02|2.775e-03|2.084e-02|2.084e-02|
5.000e+03|2.254e-12|8.343e-05|2.275e-10|1.802e-02|2.793e-03|2.090e-02|2.090e-02|
6.000e+03|1.565e-12|7.074e-05|1.896e-10|1.807e-02|2.806e-03|2.094e-02|2.094e-02|
8.000e+03|8.805e-13|5.449e-05|1.422e-10|1.812e-02|2.823e-03|2.100e-02|2.100e-02|
1.000e+04|5.635e-13|4.448e-05|1.138e-10|1.816e-02|2.834e-03|2.104e-02|2.104e-02|
1.500e+04|2.504e-13|3.075e-05|7.583e-11|1.821e-02|2.848e-03|2.109e-02|2.109e-02|
2.000e+04|1.408e-13|2.364e-05|5.688e-11|1.824e-02|2.857e-03|2.112e-02|2.112e-02|
3.000e+04|6.261e-14|1.630e-05|3.793e-11|1.827e-02|2.865e-03|2.115e-02|2.115e-02|
4.000e+04|3.522e-14|1.252e-05|2.844e-11|1.828e-02|2.871e-03|2.117e-02|2.117e-02|
5.000e+04|2.254e-14|1.019e-05|2.275e-11|1.829e-02|2.874e-03|2.117e-02|2.117e-02|
6.000e+04|1.565e-14|8.617e-06|1.896e-11|1.830e-02|2.876e-03|2.118e-02|2.118e-02|
8.000e+04|8.805e-15|6.608e-06|1.422e-11|1.830e-02|2.878e-03|2.119e-02|2.119e-02|
1.000e+05|5.635e-15|5.374e-06|1.138e-11|1.831e-02|2.879e-03|2.120e-02|2.120e-02|

