dt,db,model
17.109404733677447,12.485089463220678,Y
17.151651254552196,13.518886679920477,Y
17.20530486803947,14.234592445328037,Y
17.25155641077085,16.222664015904577,Y
17.286172871030697,17.33598409542744,Y
17.328267398666107,17.574552683896627,Y
17.393206510174426,17.33598409542744,Y
17.44667773177449,17.097415506958253,Y
17.50395638402004,16.77932405566601,Y
17.58420121472997,16.620278330019886,Y
17.6377028349779,16.540755467196824,Y
17.668527063916198,17.81312127236581,Y
17.67636991506618,18.84691848906561,Y
17.688050595509512,19.960238568588473,Y
17.703690699837672,21.789264413518893,Y
17.707756518990035,23.061630218687878,Y
17.71561456946395,24.174950298210742,Y
17.72345742061393,25.208747514910545,Y
17.731391467707518,26.719681908548715,Y
17.746894778120268,27.83300198807158,Y
17.766083924587033,28.230616302186885,Y
17.792735939105427,27.673956262425452,Y
17.811742693684984,27.117296222664024,Y
17.838364309555512,26.401590457256468,Y
17.857371064135066,25.844930417495036,Y
17.88015485071224,25.049701789264418,Y
17.944774776417944,23.14115308151094,Y
17.986702111490082,22.50497017892645,Y
18.03625950717712,21.789264413518893,Y
18.078202041573192,21.23260437375746,Y
18.1277898359081,20.67594433399603,Y
18.18121545953636,20.198807157057658,Y
18.185038089505777,20.198807157057658,Y
18.2308184531952,19.72166998011929,Y
18.27658361756069,19.16500994035786,Y
18.337639301803854,18.608349900596426,Y
18.398679786723086,17.972166998011932,Y
18.45973547096625,17.4155069582505,Y
18.516968525239996,16.858846918489068,Y
18.562764088253353,16.461232604373762,Y
18.61623530985342,16.222664015904577,Y
18.658208242897356,15.825049701789265,Y
18.685027449979025,16.143141153081515,Y
18.72698518369903,15.666003976143148,Y
18.757505426158644,15.347912524850898,Y
18.81476887908026,14.950298210735589,Y
18.872032332001872,14.552683896620284,Y
18.936971443510192,14.314115308151099,Y
19.0133024483071,13.677932405566601,Y
19.059189207264062,13.757455268389663,Y
19.101222937603737,13.677932405566601,Y
19.17758434104851,13.200795228628234,Y
19.246376481174117,13.121272365805172,Y
19.3036703327436,12.882703777335987,Y
19.353349323022112,12.803180914512925,Y
17.910538299256448,24.01590457256462,Y
17.224600409773775,15.188866799204774,Y
17.107428821566018,2.1471172962226674,Y
17.16093044181395,2.0675944333996057,Y
17.225945549941937,2.226640159045729,Y
17.237550233765603,2.942345924453278,Y
17.25300794620655,3.8170974155069572,Y
17.279811953964288,4.0556660039761425,Y
17.310301797776035,3.578528827037779,Y
17.352244332172106,3.0218687872763397,Y
17.401847325830946,2.544731610337969,Y
17.45914117740043,2.306163021868791,Y
17.52025765893933,2.0675944333996057,Y
17.58519677044765,1.8290258449304204,Y
17.638713590019517,1.8290258449304204,Y
17.669553018281746,3.1809145129224703,Y
17.681279296696882,4.532803180914513,Y
17.685299517877446,5.566600397614316,Y
17.700802828290197,6.6799204771371805,Y
17.71245311008566,7.634194831013922,Y
17.735525683817585,8.34990059642147,Y
17.78893610812191,7.793240556660045,Y
17.827025613900695,7.077534791252482,Y
17.87277557894225,6.441351888667995,Y
17.92234817395322,5.805168986083501,Y
17.994902146752512,5.407554671968192,Y
18.067471318875736,5.089463220675945,Y
18.139994893027158,4.532803180914513,Y
18.204964403183347,4.453280318091451,Y
18.273680546689285,3.9761431411530808,Y
18.36152503936625,3.578528827037779,Y
18.36152503936625,3.578528827037779,Y
18.418818890935732,3.339960238568594,Y
18.468452283242442,3.0218687872763397,Y
18.521893106194636,2.624254473161031,Y
18.602092338932763,2.226640159045729,Y
18.663208820471667,1.988071570576544,Y
18.743408053209794,1.590457256461228,Y
18.79692487278166,1.590457256461228,Y
18.86186398428998,1.3518886679920499,Y
18.94210881499991,1.1928429423459264,Y
19.03762896626358,0.9542743538767411,Y
19.10643630571312,0.9542743538767411,Y
19.167552787252024,0.7157057654075558,Y
19.240182756670983,0.7157057654075558,Y
19.312812726089945,0.7157057654075558,Y
19.370152175631226,0.7157057654075558,Y
17.718654434250766,43.17046047858311,N
17.898318042813457,32.44977182882755,N
18.25382262996942,33.3589644486937,N
18.085626911314986,28.48027149996271,N
19.335626911314986,30.498009859164487,N
19.148318042813454,24.534029035035978,N
18.98776758409786,20.663730615621425,N
18.79663608562691,22.615729910426715,N
18.6131498470948,17.970802226787903,N
18.43348623853211,24.733619479647675,N
